p_underdog,proportion_mu_high_to_admit,frequency_high_mu,frequency_high_sigma,mean_to_std_diff_ratio,game_value,over_q1,over_q2,over_q3,over_q4,under_q1,under_q2,under_q3,under_q4
0.4,38,0.4,0.25,0.8,0.5113708979826308,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.9,0.5179430837803648,12,35,3,8,12,36,18,2
0.4,43,0.4,0.25,0.1,0.5011040166084567,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.2,0.5011803930229963,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.3,0.5018318197243982,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.4,0.5035389776354002,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.5,0.5049680268993663,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.6,0.5063109509437527,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.7,0.508230611070846,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.8,0.5094585746344732,12,35,7,12,12,36,18,10
0.4,43,0.4,0.25,0.9,0.5127025452621929,12,35,7,12,12,36,18,10
0.5,9,0.4,0.25,0.1,0.5475498321873317,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.2,0.5626320240379807,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.3,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.4,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.5,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.6,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.7,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.8,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,9,0.4,0.25,0.9,0.5776374959138981,3,6,0,1,10,0,0,0
0.5,14,0.4,0.25,0.1,0.5103109789169369,6,9,0,2,12,0,0,4
0.5,14,0.4,0.25,0.2,0.5184320665575332,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.3,0.5268158120716228,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.4,0.5354751675071456,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.5,0.5444239507230172,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.6,0.5471946762044462,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.7,0.5471946762044462,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.8,0.5471946762044462,6,9,0,2,12,0,0,5
0.5,14,0.4,0.25,0.9,0.5471946762044462,6,9,0,2,12,0,0,5
0.5,19,0.4,0.25,0.1,0.5064359227821378,7,15,1,2,10,15,0,0
0.5,19,0.4,0.25,0.2,0.512353825721356,8,15,1,2,12,14,0,0
0.5,19,0.4,0.25,0.3,0.5162080142689047,8,15,1,2,12,14,0,0
0.5,19,0.4,0.25,0.4,0.5167515966641808,8,15,1,2,12,14,0,0
0.5,19,0.4,0.25,0.5,0.5173241272125507,8,15,1,2,12,14,0,0
0.5,19,0.4,0.25,0.6,0.5258460094581338,8,12,1,2,12,0,11,0
0.5,19,0.4,0.25,0.7,0.5312427325172758,8,12,1,2,12,0,11,0
0.5,19,0.4,0.25,0.8,0.5312427325172758,8,12,1,2,12,0,11,0
0.5,19,0.4,0.25,0.9,0.5312427325172758,8,12,1,2,12,0,11,0
0.5,24,0.4,0.25,0.1,0.5,12,32,0,0,12,32,0,0
0.5,24,0.4,0.25,0.2,0.5,12,32,0,0,12,32,0,0
